inliers,drift,lin_vel,ang_vel,entropy,target_uncertainty
99,0.1919090567056726,0.268228632332338,0.05919418255566304,0.5090197770948869,0.45119977947634793
101,0.23037623962843162,0.4319411614635966,0.19388199903483258,0.3864394997559907,0.5091793152307196
77,0.13112484539617367,0.21273513775988154,0.15360279878987257,0.5946951973402653,0.5173925198405585
82,0.2469422082479231,0.3130254536354109,0.14398272830204126,0.5815216595063565,0.6001454106452186
68,0.08443541663663982,0.3919326993040515,0.18077927471391878,0.647187145532353,0.5237410139650139
110,0.14435528296357608,0.2415165318076963,0.07007737290910275,0.6123387212336722,0.400418448077594
76,0.24198552826498212,0.2908039106210868,0.17440888627661164,0.30839384831356753,0.571229299611842
120,0.22983867528565233,0.13730874574096405,0.1696173311455285,0.6682027389099894,0.4983422879972963
150,0.1703567682956442,0.10045712772577131,0.10377979462841168,0.7940822203942247,0.3536494533962894
81,0.18526685832477396,0.38145701846620805,0.02196701210962792,0.8336151752919599,0.5492500123945399
78,0.06726782286765284,0.48701610011605734,0.1626040991631753,0.4583756571484563,0.4332578116758489
60,0.2483731728554748,0.45003491493445824,0.1996146099063637,0.4914294249359241,0.6716675845196577
88,0.1423041390617323,0.3826245639467559,0.11401377315240051,0.7515734906330688,0.5099939325431331
119,0.058768444592664004,0.4197708445882369,0.11397372023498446,0.3301258113681616,0.2575062505010237
61,0.15310884677994552,0.2539604583890642,0.11937369269132882,0.3322636019222064,0.5190001595629238
74,0.20715213153373513,0.11318896595470061,0.19644695069465998,0.3080449669154345,0.5546246920413125
58,0.03155784668694248,0.4030415687865747,0.17658637045632722,0.8387048127570246,0.5427775727521841
60,0.22556154912589096,0.4692329759280708,0.11271398574013033,0.4130368401876999,0.6006983565468941
140,0.13589774538689992,0.30871604028829547,0.05474532970340799,0.27216103610419606,0.22863830995041232
136,0.15155228404747836,0.47990594929284824,0.12014205204166511,0.46045048530492416,0.31854397352038144
134,0.16388723789976448,0.3800902095941937,0.1966674732471389,0.385894036784011,0.3513443107654458
91,0.15706794520977094,0.2945776807876668,0.12972799467817983,0.7760620605372122,0.5254647606675082
81,0.013890166398565551,0.20841518377403703,0.14401329190945256,0.39764815446485857,0.35663609741546176
71,0.0898086758127173,0.42636523861346387,0.029115428841058277,0.21708679112984308,0.37289133799383756
139,0.06250565417748818,0.4268481212075532,0.13049921857493402,0.8492157729518292,0.31129793078007884
127,0.17334139181494157,0.11067871786488209,0.13064998288317708,0.5850707342033752,0.39428139262739326
123,0.03872691343642964,0.13661274126213768,0.1684304418139023,0.19283691070313475,0.22179378095897456
127,0.015192762365205777,0.48441251209584446,0.045144668865513285,0.19911613153954538,0.1405545799827996
76,0.18451725506916034,0.12443395834257945,0.139075967031186,0.5353883291817834,0.5507735822110753
129,0.03436005264980074,0.2039679559171328,0.0519575615501003,0.6175405758682581,0.23821518717851242
94,0.11465647550878147,0.124416975687851,0.09875493323416973,0.5771879380996301,0.42613038887149723
139,0.24717643569340025,0.1797423161868252,0.07812550724920435,0.6852786449802885,0.4237647240197996
122,0.05066190546339224,0.369056225429221,0.1936442915782048,0.14644075506119894,0.23634158256057475
136,0.047970071158572304,0.1647816280791537,0.11060010237716579,0.19377027509684197,0.1681671600129498
106,0.16974539728430418,0.10528150341399134,0.13944332836480458,0.8200784419126078,0.5045638772843172
115,0.23020266946216703,0.3595733951245298,0.083842026137975,0.6260929599459926,0.4709378049603389
69,0.14454405252484576,0.10497452753172576,0.15089913170802607,0.36873324357876847,0.5071959486713252
55,0.14063667943635552,0.1539350427393031,0.154811664678861,0.485461666299257,0.5705900106241159
128,0.079090699565536,0.24368047890149855,0.1899121087749993,0.6069982817994021,0.33454612947886253
129,0.04176262745073916,0.22411903258567223,0.15221231742754146,0.7631222167660765,0.3140957350298972
60,0.010365813245612846,0.17692381649787034,0.07353632122587529,0.29153276814876683,0.36705031404115507
131,0.11755247839447508,0.38413999043531233,0.13801728805861452,0.7996301198864364,0.37793016975576066
54,0.10654409802857909,0.38073184957347017,0.08946304512556855,0.629756711179054,0.5456262485117594
55,0.04976199348929915,0.12555452364452757,0.14328807182580566,0.4570917697404213,0.47851937681877577
112,0.22792956571830197,0.34159095512475,0.010013140946151897,0.13112814721216362,0.3493674949673653
91,0.08489397914004951,0.28675689414100947,0.16371871289846887,0.8000130651842169,0.4788946794222755
103,0.05512031057219872,0.4997681437821322,0.13028686438447706,0.16677364014058343,0.2760777532968864
142,0.04132522044209505,0.10589171469753032,0.19041403151242325,0.43398806045160965,0.22415592309317678
50,0.061245918895527066,0.38692965732441487,0.01044793729667724,0.7581851284251326,0.5109375276096717
117,0.15689487117132725,0.1761839721170184,0.12558833154559457,0.258813100300156,0.34220333673246356
88,0.0771958583984494,0.49140607470935926,0.029034330922104716,0.7831504876778705,0.42372010246302044
100,0.16063338413479103,0.10873819969509194,0.18363741119255017,0.7398596453210207,0.5159969392625361
